=================================================================
[A] VERİ YÜKLENİYOR...
  962,873 ürün | 250,000 pozitif | 3,359,679 test | 48.2s
  Train-test term_id örtüşmesi: 0 (0 olmalı)

[A2] Enhanced negatives (NEG_PER_POS=5)...
  Negatif kaynak: {'same_brand_diff_sub': 116056, 'same_main_category': 249999, 'different_main_category': 717995, 'same_brand_diff_main': 115262, 'gender_conflict': 36733, 'age_conflict': 13954}
  Train: 1,499,999 | pos=250,000 neg=1,249,999

[B] BERT RETRAINING (hard negatives)...
  Device: cuda
  BERT fine-tune başlıyor (hard negatives ile)...
  BERT train sample: 500,000 | pos~83,335
  Epoch 1 step 0/15625 loss=0.7589
  Epoch 1 step 300/15625 loss=0.5642
  Epoch 1 step 600/15625 loss=0.3960
  Epoch 1 step 900/15625 loss=0.3179
  Epoch 1 step 1200/15625 loss=0.2766
  Epoch 1 step 1500/15625 loss=0.2506
  Epoch 1 step 1800/15625 loss=0.2313
  Epoch 1 step 2100/15625 loss=0.2178
  Epoch 1 step 2400/15625 loss=0.2066
  Epoch 1 step 2700/15625 loss=0.1984
  Epoch 1 step 3000/15625 loss=0.1906
  Epoch 1 step 3300/15625 loss=0.1843
  Epoch 1 step 3600/15625 loss=0.1795
  Epoch 1 step 3900/15625 loss=0.1745
  Epoch 1 step 4200/15625 loss=0.1699
  Epoch 1 step 4500/15625 loss=0.1663
  Epoch 1 step 4800/15625 loss=0.1630
  Epoch 1 step 5100/15625 loss=0.1600
  Epoch 1 step 5400/15625 loss=0.1571
  Epoch 1 step 5700/15625 loss=0.1546
  Epoch 1 step 6000/15625 loss=0.1525
  Epoch 1 step 6300/15625 loss=0.1505
  Epoch 1 step 6600/15625 loss=0.1485
  Epoch 1 step 6900/15625 loss=0.1467
  Epoch 1 step 7200/15625 loss=0.1450
  Epoch 1 step 7500/15625 loss=0.1432
  Epoch 1 step 7800/15625 loss=0.1417
  Epoch 1 step 8100/15625 loss=0.1405
  Epoch 1 step 8400/15625 loss=0.1393
  Epoch 1 step 8700/15625 loss=0.1382
  Epoch 1 step 9000/15625 loss=0.1372
  Epoch 1 step 9300/15625 loss=0.1360
  Epoch 1 step 9600/15625 loss=0.1349
  Epoch 1 step 9900/15625 loss=0.1336
  Epoch 1 step 10200/15625 loss=0.1327
  Epoch 1 step 10500/15625 loss=0.1317
  Epoch 1 step 10800/15625 loss=0.1308
  Epoch 1 step 11100/15625 loss=0.1301
  Epoch 1 step 11400/15625 loss=0.1292
  Epoch 1 step 11700/15625 loss=0.1283
  Epoch 1 step 12000/15625 loss=0.1274
  Epoch 1 step 12300/15625 loss=0.1266
  Epoch 1 step 12600/15625 loss=0.1259
  Epoch 1 step 12900/15625 loss=0.1251
  Epoch 1 step 13200/15625 loss=0.1246
  Epoch 1 step 13500/15625 loss=0.1240
  Epoch 1 step 13800/15625 loss=0.1233
  Epoch 1 step 14100/15625 loss=0.1227
  Epoch 1 step 14400/15625 loss=0.1222
  Epoch 1 step 14700/15625 loss=0.1218
  Epoch 1 step 15000/15625 loss=0.1212
  Epoch 1 step 15300/15625 loss=0.1207
  Epoch 1 step 15600/15625 loss=0.1202
  Epoch 2 step 0/15625 loss=0.0445
  Epoch 2 step 300/15625 loss=0.0856
  Epoch 2 step 600/15625 loss=0.0835
  Epoch 2 step 900/15625 loss=0.0817
  Epoch 2 step 1200/15625 loss=0.0827
  Epoch 2 step 1500/15625 loss=0.0832
  Epoch 2 step 1800/15625 loss=0.0823
  Epoch 2 step 2100/15625 loss=0.0818
  Epoch 2 step 2400/15625 loss=0.0820
  Epoch 2 step 2700/15625 loss=0.0817
  Epoch 2 step 3000/15625 loss=0.0812
  Epoch 2 step 3300/15625 loss=0.0807
  Epoch 2 step 3600/15625 loss=0.0804
  Epoch 2 step 3900/15625 loss=0.0804
  Epoch 2 step 4200/15625 loss=0.0803
  Epoch 2 step 4500/15625 loss=0.0802
  Epoch 2 step 4800/15625 loss=0.0806
  Epoch 2 step 5100/15625 loss=0.0806
  Epoch 2 step 5400/15625 loss=0.0807
  Epoch 2 step 5700/15625 loss=0.0808
  Epoch 2 step 6000/15625 loss=0.0810
  Epoch 2 step 6300/15625 loss=0.0809
  Epoch 2 step 6600/15625 loss=0.0807
  Epoch 2 step 6900/15625 loss=0.0805
  Epoch 2 step 7200/15625 loss=0.0803
  Epoch 2 step 7500/15625 loss=0.0804
  Epoch 2 step 7800/15625 loss=0.0802
  Epoch 2 step 8100/15625 loss=0.0802
  Epoch 2 step 8400/15625 loss=0.0801
  Epoch 2 step 8700/15625 loss=0.0799
  Epoch 2 step 9000/15625 loss=0.0797
  Epoch 2 step 9300/15625 loss=0.0797
  Epoch 2 step 9600/15625 loss=0.0797
  Epoch 2 step 9900/15625 loss=0.0797
  Epoch 2 step 10200/15625 loss=0.0797
  Epoch 2 step 10500/15625 loss=0.0797
  Epoch 2 step 10800/15625 loss=0.0796
  Epoch 2 step 11100/15625 loss=0.0795
  Epoch 2 step 11400/15625 loss=0.0793
  Epoch 2 step 11700/15625 loss=0.0793
  Epoch 2 step 12000/15625 loss=0.0792
  Epoch 2 step 12300/15625 loss=0.0792
  Epoch 2 step 12600/15625 loss=0.0792
  Epoch 2 step 12900/15625 loss=0.0791
  Epoch 2 step 13200/15625 loss=0.0791
  Epoch 2 step 13500/15625 loss=0.0789
  Epoch 2 step 13800/15625 loss=0.0788
  Epoch 2 step 14100/15625 loss=0.0788
  Epoch 2 step 14400/15625 loss=0.0787
  Epoch 2 step 14700/15625 loss=0.0785
  Epoch 2 step 15000/15625 loss=0.0783
  Epoch 2 step 15300/15625 loss=0.0783
  Epoch 2 step 15600/15625 loss=0.0783
