pair_id,term_id,item_id,query,title,brand,category,gender,age_group,attributes_short,cosine
3150,TERM_62e05ac9,ITEM_865507a63c9d,şambader,modena retro beyaz metal başlıklı tek ayaklı lambader,marrien,ev & mobilya/mobilya/elektrik & aydınlatma/lambader,unknown,unknown,model:tek ayaklı; renk:beyaz; materyal:metal; ampül başlık sayısı:1,0.7258
3151,TERM_62e05ac9,ITEM_6239a48b3b8e,şambader,luna lambader salon oturma odasi şik modern (şapka kismi plastik),tigea accessories,ev & mobilya/mobilya/elektrik & aydınlatma/lambader,unknown,unknown,model:tek ayaklı; renk:beyaz; materyal:metal; ampül başlık sayısı:1,0.721
3152,TERM_62e05ac9,ITEM_61fcd922d8dc,şambader,modern ayaklı lamba salon lambader,ömür avize,ev & mobilya/mobilya/elektrik & aydınlatma/lambader,unknown,unknown,model:tek ayaklı; renk:siyah; materyal:metal; ampül başlık sayısı:1,0.7171
3153,TERM_62e05ac9,ITEM_80ce195ec346,şambader,lambader gold lena elips siyah sarı patine krem kumaş şapka tek ayaklı lambader salon köşe lambası,venon,ev & mobilya/mobilya/elektrik & aydınlatma/lambader,unknown,unknown,model:tek ayaklı; renk:siyah; materyal:metal; ampül başlık sayısı:1,0.714
3154,TERM_62e05ac9,ITEM_2810ca880eab,şambader,metal klasik tek ayaklı lambader,emg design,ev & mobilya/mobilya/elektrik & aydınlatma/lambader,unknown,unknown,model:tek ayaklı; renk:lacivert; materyal:kumaş; ampül başlık sayısı:1,0.7126
3155,TERM_5473a7eb,ITEM_033ed26bffcf,stantlı baharatlık,15 li stantli etiketli baharatlik seti,vipgross,ev & mobilya/ev/sofra & mutfak/mutfak saklama ve düzenleme/kavanoz,unknown,unknown,hacim:350 ml; materyal:cam; renk:siyah; parça sayısı:13-18,0.8667
3156,TERM_5473a7eb,ITEM_3a02149d47af,stantlı baharatlık,"16 lı baharatlık takımı, ahşap stantlı 16 lı baharatlık",woodsy,ev & mobilya/ev/sofra & mutfak/mutfak saklama ve düzenleme/baharatlık,unknown,unknown,hacim:0 - 249 ml; parça sayısı:16; bakım talimatları (gıda temas):ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz.; materyal:kayın,0.8584
3157,TERM_5473a7eb,ITEM_1fd0d03dfe6a,stantlı baharatlık,ahşap standlı 12'li baharatlık takımı,chef taste,ev & mobilya/ev/sofra & mutfak/mutfak saklama ve düzenleme/baharatlık,unknown,unknown,hacim:105 ml; parça sayısı:24 +; bakım talimatları (gıda temas):ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz.; materyal:kayın,0.8574
3158,TERM_5473a7eb,ITEM_406c7bda50ec,stantlı baharatlık,"ahşap 10 lu baharatlık takımı, ahşap stantlı 10 lu baharatlık twin 11",etka dizayn,ev & mobilya/ev/sofra & mutfak/mutfak saklama ve düzenleme/baharatlık,unknown,unknown,parça sayısı:10; bakım talimatları (gıda temas):ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz.; materyal:kayın,0.8521
3159,TERM_5473a7eb,ITEM_1bde34dc1218,stantlı baharatlık,13 parça bambu standlı cam baharatlık seti 120 ml - 12'li + 1 standlı baharatlık takımı,kitchen life,ev & mobilya/ev/sofra & mutfak/mutfak saklama ve düzenleme/baharatlık,unknown,unknown,hacim:120 ml; parça sayısı:13; menşei:cn; bakım talimatları (gıda temas):ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz.,0.8452
3160,TERM_a0a65796,ITEM_baeabf1f83bc,dyson süpürge v12,v12™ ayaklı ünite,dyson,elektronik/elektrikli ev aletleri/elektrikli ev aletleri aksesuar/süpürge aksesuarı,unknown,unknown,renk:beyaz; menşei:my; özellik:ayaklı; color detail:beyaz,0.7584
3161,TERM_a0a65796,ITEM_c8a0bc94c2e0,dyson süpürge v12,v10 total clean kablosuz süpürge,dyson,elektronik/elektrikli ev aletleri/süpürge & ütü/süpürge/dik süpürge,unknown,unknown,priz tipi:e; güç (watt):1501 - 2000 watt; şarjlı kullanım süresi:30 - 60 dk; özellik:şarjlı,0.6284
3162,TERM_a0a65796,ITEM_f212613ab141,dyson süpürge v12,v10 total clean kablosuz süpürge 443095-01,dyson,elektronik/elektrikli ev aletleri/süpürge & ütü/süpürge/dik süpürge,unknown,unknown,priz tipi:c / f; şarjlı kullanım süresi:30 - 60 dk; güç (watt):1501 - 2000 watt; özellik:şarjlı,0.6256
3163,TERM_a0a65796,ITEM_65faa6caa9c9,dyson süpürge v12,v12 boru bakır (sadece v12 uyumlu),dyson,elektronik/elektrikli ev aletleri/elektrikli ev aletleri aksesuar/süpürge aksesuarı,unknown,unknown,renk:metalik; menşei:tr; color detail:bakır,0.6228
