pair_id,term_id,item_id,query,title,brand,category,gender,age_group,attributes_short,cosine
0,TERM_96a1d801,ITEM_147557626031,poco x6 pro cep telefonu,x6 pro 5g 512gb 12gb ram siyah cep telefonu ( türkiye garantili),poco,elektronik/telefon/akıllı cep telefonu/android cep telefonu,unknown,unknown,yüz tanıma:var; ana kamera flaş:var; kulaklık girişi:usb type-c; suya/toza dayanıklılık:yok,0.8261
1,TERM_96a1d801,ITEM_1c0a69aec38b,poco x6 pro cep telefonu,x7 pro 12gb / 512gb  yeşil,poco,elektronik/telefon/akıllı cep telefonu/android cep telefonu,unknown,unknown,batarya kapasitesi aralığı:6000-7000 mah; yüz tanıma:var; ana kamera flaş:var; suya/toza dayanıklılık:var,0.7412
2,TERM_96a1d801,ITEM_a951df44bc62,poco x6 pro cep telefonu,f4 128 gb 6 gb ram yeşil cep telefonu (xiaomi türkiye garantili),poco,elektronik/telefon/akıllı cep telefonu/android cep telefonu,unknown,unknown,ana kamera flaş:var; kulaklık girişi:usb type-c; ekran teknolojisi:fhd+; batarya kapasitesi aralığı:4500-5000 mah,0.6878
3,TERM_96a1d801,ITEM_5c749536e795,poco x6 pro cep telefonu,f7 pro 12 gb/ 512 gb gümüş (poco türkiye garantili),poco,elektronik/telefon/akıllı cep telefonu/android cep telefonu,unknown,unknown,yüz tanıma:var; ekran teknolojisi:fhd+; suya/toza dayanıklılık:var; batarya kapasitesi aralığı:4000-4500 mah,0.6718
4,TERM_96a1d801,ITEM_26ae1fa53dba,poco x6 pro cep telefonu,xiaomi poco x6 pro kılıf nano içi kadife silikon,joy tekno,elektronik/elektronik aksesuarlar/cep telefonu aksesuarları/kapak & kılıf,unknown,unknown,materyal:silikon; cep telefonu modeli:poco x6 pro; renk:çok renkli; uyumlu marka:xiaomi uyumlu,0.6618
5,TERM_efd883e2,ITEM_38fde904af64,megane 2 direksiyon kılıfı,peugeot 301 orjinal kaplama deri direksiyon kılıfı,m&r oto kilif aksesuar,otomobil & motosiklet/otomobil/araç içi aksesuarı/direksiyon ürünü,unknown,unknown,renk:gri; color detail:gri,0.6979
6,TERM_efd883e2,ITEM_3eb1d4d3365d,megane 2 direksiyon kılıfı,clio 2 deri direksiyon simidi (mais),renault,otomobil & motosiklet/otomobil/araç içi aksesuarı/direksiyon ürünü,unknown,unknown,renk:siyah; menşei:fr; color detail:siyah,0.6723
7,TERM_efd883e2,ITEM_2d78839caeb0,megane 2 direksiyon kılıfı,talisman megane 4 faz1 deri direksiyon simidi şerit takipli,renault,otomobil & motosiklet/otomobil/araç içi aksesuarı/direksiyon ürünü,unknown,unknown,renk:siyah; menşei:fr; tamir edilebilirlik:tamir edilmez.; color detail:siyah,0.6695
8,TERM_efd883e2,ITEM_4997490235a4,megane 2 direksiyon kılıfı,peugeot 305 geçmeli direksiyon kılıfı,devbur,otomobil & motosiklet/otomobil/araç içi aksesuarı/direksiyon ürünü,unknown,unknown,renk:bej; özellik:standart; color detail:bej,0.6643
9,TERM_efd883e2,ITEM_e0a4885d902d,megane 2 direksiyon kılıfı,direksiyon korugu megane iv-espace v-talisman,universal,otomobil & motosiklet/otomobil yedek parça/yürüyen aksam & direksiyon/z rot,unknown,unknown,araç marka ve model:fiat / tofaş kartal; araç bilgisi:alfa romeo 145 1.4l 5mt; menşei:tr,0.6543
10,TERM_3bdd3b2f,ITEM_fd5380f5a7f7,kız çocuk kolej ceket,"kids unisex oversize kız,erkek çocuk kolej ceket",gzt tekstil,giyim/dış giyim/ceket & yelek/ceket,unisex,çocuk,kol tipi:uzun kol; desen:düz; kalıp:oversize; yaka tipi:sıfır yaka,0.9014
11,TERM_3bdd3b2f,ITEM_91375f304efa,kız çocuk kolej ceket,"unisex oversize kız,erkek çocuk kolej ceket 8015(6-14 yaş)",fox life kids,giyim/dış giyim/ceket & yelek/ceket,unisex,çocuk,kol tipi:uzun kol; desen:dokulu; kalıp:oversize; yaka tipi:kolej yaka,0.8903
12,TERM_3bdd3b2f,ITEM_4509d31ceb11,kız çocuk kolej ceket,"unisex oversize kız,erkek çocuk kolej ceket",sindel,giyim/dış giyim/ceket & yelek/ceket,unisex,çocuk,kol tipi:uzun kol; desen:baskılı; kalıp:regular; yaka tipi:kolej yaka,0.8836
13,TERM_3bdd3b2f,ITEM_4044490704ca,kız çocuk kolej ceket,"unisex oversize kız,erkek çocuk kolej ceket",sindel,giyim/dış giyim/ceket & yelek/ceket,unisex,çocuk,kol tipi:uzun kol; desen:baskılı; kalıp:regular; yaka tipi:kolej yaka,0.8836
14,TERM_3bdd3b2f,ITEM_4ec7922b9b76,kız çocuk kolej ceket,kız çocuk kolej ceket aplike detaylı uzun kollu çıtçıt kapamalı şardonlu,koton,giyim/dış giyim/kaban & mont/mont,unisex,çocuk,kalıp:regular; yaka tipi:kolej yaka; materyal:pamuklu; kumaş tipi:dokuma,0.882
15,TERM_c290d469,ITEM_aae33d09ff0f,diş macunluk,diş fırçası ve diş macunu tutucu - organizer kutu,mutu store,ev & mobilya/ev/banyo/banyo aksesuarları/diş fırçalık,unknown,unknown,materyal:plastik; renk:beyaz; menşei:tr; color detail:beyaz,0.865
16,TERM_c290d469,ITEM_9ef2eea0aa69,diş macunluk,diş macunu sıkacağı ve 5li fırça tutucu,cmt,ev & mobilya/ev/banyo/banyo aksesuarları/banyo düzenleyici,unknown,unknown,materyal:plastik; renk:gri; menşei:cn; color detail:gri,0.8543
17,TERM_c290d469,ITEM_b5339a1df062,diş macunluk,diş macunu sıkacağı ve 5li fırça tutucu,cmt,ev & mobilya/ev/banyo/banyo aksesuarları/diş fırçalık,unknown,unknown,materyal:plastik; renk:beyaz; color detail:nocolor-3a2d4cf1,0.8543
18,TERM_c290d469,ITEM_6dcc72080eeb,diş macunluk,"diş şeklinde diş fırçalık, banyo organizeri, diş macunu ve fırça standı",moifugyia,ev & mobilya/ev/ev dekorasyon/dekoratif obje ve biblo,unknown,unknown,materyal:plastik; renk:beyaz; boyut/ebat:10 x 11; parça sayısı:1,0.85
19,TERM_c290d469,ITEM_fcc7c3d508b0,diş macunluk,"otomatik diş macunu sıkacağı, diş fırçası tutucu",adornazzle,ev & mobilya/ev/banyo/banyo aksesuarları/diş fırçalık,unknown,unknown,materyal:plastik; renk:beyaz; menşei:cn; color detail:beyaz,0.8428
20,TERM_548ff15c,ITEM_8c8ee9086c6f,gold küpe,kadın gold küpe,monalisatoka,aksesuar/takı & mücevher/küpe/bijuteri küpe,kadın,unknown,taş cinsi:yok; materyal:altın; model:standart; renk:altın,0.8436
21,TERM_548ff15c,ITEM_5cc1a98ac762,gold küpe,kadın gold küpe,monalisatoka,aksesuar/takı & mücevher/küpe/bijuteri küpe,kadın,unknown,taş cinsi:yok; materyal:metal; model:çivi; renk:metalik,0.8436
22,TERM_548ff15c,ITEM_b73ba4dd6733,gold küpe,kadın gold  halka küpe,monalisatoka,aksesuar/takı & mücevher/küpe/bijuteri küpe,kadın,unknown,taş cinsi:yok; materyal:döküm; model:halka; renk:altın,0.8039
23,TERM_548ff15c,ITEM_9ef121dcb7d4,gold küpe,gold renk zirkon taşlı kadın küpe,toptan bulurum,aksesuar/takı & mücevher/bileklik/bijuteri bileklik,kadın,yetişkin,taş cinsi:zirkon; renk:çok renkli; menşei:tr; color detail:tek renk,0.7892
24,TERM_548ff15c,ITEM_374d876510f8,gold küpe,kadın gold basic 6'lı küpe seti,monalisatoka,aksesuar/takı & mücevher/küpe/bijuteri küpe,kadın,unknown,taş cinsi:yok; materyal:metal; model:standart; renk:metalik,0.7819
25,TERM_aca2af95,ITEM_4fd123d756ba,lotus yüzük,lotus çiçeği yüzük - 925 ayar gümüş yüzük,lotus jw,aksesuar/takı & mücevher/yüzük/gümüş yüzük,kadın,yetişkin,taş cinsi:zirkon; yüzey tipi:parlak; renk:pembe; ayar:925 ayar,0.9225
