pair_id,term_id,item_id,query,title,brand,category,gender,age_group,attributes_short,cosine
7000,TERM_e5e8894a,ITEM_d65b1c2dad0d,pilsan akülü araç,tostos akülü araba 12 volt pembe,pilsan,anne & bebek & çocuk/oyuncak/akülü & pedallı araçlar/akülü araç,unknown,çocuk,güç:12 v; model:tek kişilik; renk:pembe; garanti süresi:1 yıl,0.8602
7001,TERM_e5e8894a,ITEM_c7277a886e40,pilsan akülü araç,pilsan safari 24v 4x4 çift kişilik akülü araba,pilsan,anne & bebek & çocuk/oyuncak/akülü & pedallı araçlar/akülü araç,unknown,çocuk,güç:24 v; model:çift kişilik; renk:bej; garanti süresi:2 yıl,0.856
7002,TERM_e5e8894a,ITEM_aa0a636c3025,pilsan akülü araç,pilsan attack 12v çift kişilik akülü araba (uzaktan kumandali) 0,pilsan,anne & bebek & çocuk/oyuncak/akülü & pedallı araçlar/akülü araç,unknown,çocuk,güç:24 v; model:tek kişilik; renk:beyaz; garanti süresi:7 yıl,0.855
7003,TERM_e76d96bd,ITEM_f5d7c85e33ef,1 yaş kız elbise,kız çocuk bebek 1 yaş doğum günü isimli,damlakidsmoda,hobi & eğlence/parti malzemeleri/parti taçları,unknown,unknown,menşei:tr; yıkama talimatı:type 1,0.7784
7004,TERM_e76d96bd,ITEM_ac1e18a17c23,1 yaş kız elbise,kız bebek fitilli dokulu mevsimlik dantel detaylı doğum günü elbisesi,egelite,giyim/elbise,kadın,bebek,kumaş tipi:dokuma; materyal:%100 pamuk; kol tipi:uzun kol; desen:düz,0.7584
7005,TERM_e76d96bd,ITEM_6c39675bb372,1 yaş kız elbise,kız bebek incili 1 yaş doğum günü parti kıyafeti tütü etek/elbise set,petite ponpon baby,giyim/bebek giyim/bebek takımı,kadın,bebek,materyal:pamuk polyester; desen:baskılı; renk:bej; yaka tipi:bisiklet yaka,0.7519
7006,TERM_e76d96bd,ITEM_22116d998df7,1 yaş kız elbise,keten 1-5 yaş kız çocuk elbise bebek-çocuk elbisesi 1-5 yaş aralığı,baby,giyim/elbise,kadın,bebek & çocuk,kumaş tipi:dokuma; materyal:dokuma; kol tipi:kolsuz; desen:düz,0.7402
7007,TERM_e76d96bd,ITEM_3f8f9cd82b84,1 yaş kız elbise,kız bebek 1-5 yaş beyaz çiçekli abiye elbise doğum günü ve özel gün,sofyella,giyim/elbise,kadın,çocuk,kumaş tipi:polyester; materyal:pamuk polyester; kol tipi:fırfır kol; desen:çiçekli,0.7399
7008,TERM_3e606df9,ITEM_38bbbc3633f8,erkek bebek panduf,bebek çocuk panduf ev botu 2 adet unisex pelüş çift renk kaymaz taban,verona tarz,ayakkabı/ev terliği & botu/panduf,unisex,bebek,taban:kauçuk; ortam:günlük; materyal:peluş; renk:kahverengi,0.8475
7009,TERM_3e606df9,ITEM_13758004742a,erkek bebek panduf,03085 erkek bebek günlük cırtlı panduf ayakkabı,gezer,ayakkabı/ev terliği & botu/panduf,erkek,bebek,taban:tekstil; ortam:günlük; materyal:tekstil; renk:kırmızı,0.8463
