term_id,item_id,label,src
TERM_ec9d97fe,ITEM_75fcb89b9911,1,llm_recovered_positive_v37_train
TERM_ec9d97fe,ITEM_a6a33757c2d2,1,llm_recovered_positive_v37_train
TERM_ec9d97fe,ITEM_d13011a1f206,1,llm_recovered_positive_v37_train
TERM_ec9d97fe,ITEM_59c239da2dae,1,llm_recovered_positive_v37_train
TERM_ec9d97fe,ITEM_7fb40fc94053,1,llm_recovered_positive_v37_train
TERM_458d703c,ITEM_80f632b6e9a4,1,llm_recovered_positive_v37_train
TERM_458d703c,ITEM_2110b2778c08,1,llm_recovered_positive_v37_train
TERM_458d703c,ITEM_39f636f3f7a2,0,llm_verified_negative_v37_train
TERM_458d703c,ITEM_74a2d6da23b0,1,llm_recovered_positive_v37_train
TERM_458d703c,ITEM_c49cd61ca723,0,llm_verified_negative_v37_train
TERM_43f70b3b,ITEM_90aed611bfba,1,llm_recovered_positive_v37_train
TERM_43f70b3b,ITEM_e7a44b194509,1,llm_recovered_positive_v37_train
TERM_43f70b3b,ITEM_669b4a86478f,0,llm_verified_negative_v37_train
TERM_43f70b3b,ITEM_c5b8659045ac,0,llm_verified_negative_v37_train
TERM_43f70b3b,ITEM_cc2b599daa94,1,llm_recovered_positive_v37_train
TERM_6f39f500,ITEM_e4ed4191170f,1,llm_recovered_positive_v37_train
TERM_6f39f500,ITEM_6ac622cc1b45,1,llm_recovered_positive_v37_train
TERM_6f39f500,ITEM_6e152ce2c557,1,llm_recovered_positive_v37_train
TERM_6f39f500,ITEM_f4a47c4ce3c1,1,llm_recovered_positive_v37_train
TERM_6f39f500,ITEM_ea179783a6eb,1,llm_recovered_positive_v37_train
TERM_62cee5ab,ITEM_f7f64e0a81fc,1,llm_recovered_positive_v37_train
TERM_62cee5ab,ITEM_f5e3c8d6e229,1,llm_recovered_positive_v37_train
TERM_62cee5ab,ITEM_8169201f61a7,1,llm_recovered_positive_v37_train
TERM_62cee5ab,ITEM_f28dd6fd79d7,1,llm_recovered_positive_v37_train
TERM_62cee5ab,ITEM_dcec97cea14e,1,llm_recovered_positive_v37_train
TERM_889d43a8,ITEM_4da661ffa595,1,llm_recovered_positive_v37_train
TERM_889d43a8,ITEM_87048b7e3a23,1,llm_recovered_positive_v37_train
TERM_889d43a8,ITEM_4a9577148bf4,1,llm_recovered_positive_v37_train
TERM_889d43a8,ITEM_ad6fad9169ca,1,llm_recovered_positive_v37_train
TERM_889d43a8,ITEM_9d8d3665d389,1,llm_recovered_positive_v37_train
TERM_d309ad0c,ITEM_26e7f274027f,1,llm_recovered_positive_v37_train
TERM_d309ad0c,ITEM_b2b1b1c4f769,1,llm_recovered_positive_v37_train
TERM_d309ad0c,ITEM_be3ff290a87c,1,llm_recovered_positive_v37_train
TERM_d309ad0c,ITEM_dfbc6363678e,1,llm_recovered_positive_v37_train
TERM_d309ad0c,ITEM_cf89f2876cc4,1,llm_recovered_positive_v37_train
TERM_62884543,ITEM_d9aa9859179f,1,llm_recovered_positive_v37_train
TERM_62884543,ITEM_1ccc60d68412,1,llm_recovered_positive_v37_train
TERM_62884543,ITEM_044f55efc0de,1,llm_recovered_positive_v37_train
TERM_62884543,ITEM_3b52bfed42cc,1,llm_recovered_positive_v37_train
TERM_62884543,ITEM_143c0c9562f7,1,llm_recovered_positive_v37_train
TERM_b12e9b15,ITEM_c1b96d84f35c,1,llm_recovered_positive_v37_train
TERM_b12e9b15,ITEM_e484aed838af,1,llm_recovered_positive_v37_train
TERM_b12e9b15,ITEM_cc4298a23f33,1,llm_recovered_positive_v37_train
TERM_b12e9b15,ITEM_eb7cf73a1d09,1,llm_recovered_positive_v37_train
TERM_b12e9b15,ITEM_5ca79593fdaf,1,llm_recovered_positive_v37_train
TERM_474413e1,ITEM_aa794cd5be36,1,llm_recovered_positive_v37_train
TERM_474413e1,ITEM_b0f662cf9f2a,1,llm_recovered_positive_v37_train
TERM_474413e1,ITEM_99eb69bc13f5,1,llm_recovered_positive_v37_train
TERM_474413e1,ITEM_c26a800a999c,1,llm_recovered_positive_v37_train
TERM_474413e1,ITEM_a991e44d7aa3,1,llm_recovered_positive_v37_train
TERM_157a8b97,ITEM_587533cd3a22,1,llm_recovered_positive_v37_train
TERM_157a8b97,ITEM_f4b1b36dd8be,0,llm_verified_negative_v37_train
TERM_157a8b97,ITEM_2c42918c46ab,0,llm_verified_negative_v37_train
TERM_157a8b97,ITEM_92cfe2d448de,0,llm_verified_negative_v37_train
TERM_157a8b97,ITEM_c17452c20070,0,llm_verified_negative_v37_train
TERM_220aa6a0,ITEM_11eaaf3aa9ad,1,llm_recovered_positive_v37_train
TERM_220aa6a0,ITEM_7b24dbb3c4d5,1,llm_recovered_positive_v37_train
TERM_220aa6a0,ITEM_6c38c14a523d,1,llm_recovered_positive_v37_train
TERM_220aa6a0,ITEM_57c4c0bfd0a9,1,llm_recovered_positive_v37_train
TERM_220aa6a0,ITEM_df30ed48e560,1,llm_recovered_positive_v37_train
TERM_54decb20,ITEM_e438ce30115c,1,llm_recovered_positive_v37_train
TERM_54decb20,ITEM_16f91d0d28a4,0,llm_verified_negative_v37_train
TERM_54decb20,ITEM_9504f3dbe6c4,1,llm_recovered_positive_v37_train
TERM_54decb20,ITEM_419685f14d7e,1,llm_recovered_positive_v37_train
TERM_54decb20,ITEM_03c8e17f8b7e,1,llm_recovered_positive_v37_train
TERM_07310f69,ITEM_93ca49ad0e2f,1,llm_recovered_positive_v37_train
TERM_07310f69,ITEM_a785fdf43a02,1,llm_recovered_positive_v37_train
TERM_07310f69,ITEM_09cb0b181476,1,llm_recovered_positive_v37_train
TERM_07310f69,ITEM_53cfcd9d0a3a,0,llm_verified_negative_v37_train
TERM_07310f69,ITEM_3f43c508321b,1,llm_recovered_positive_v37_train
TERM_edb6a778,ITEM_63a2e63ae824,1,llm_recovered_positive_v37_train
TERM_edb6a778,ITEM_0d03dc91de38,1,llm_recovered_positive_v37_train
TERM_edb6a778,ITEM_cc7b19adb7be,1,llm_recovered_positive_v37_train
TERM_edb6a778,ITEM_6029f3ef13ba,1,llm_recovered_positive_v37_train
TERM_edb6a778,ITEM_e60587d87fcd,1,llm_recovered_positive_v37_train
TERM_a372529b,ITEM_8f230416a04f,1,llm_recovered_positive_v37_train
TERM_a372529b,ITEM_bccb7a77028e,1,llm_recovered_positive_v37_train
TERM_a372529b,ITEM_13cb7ae603c4,1,llm_recovered_positive_v37_train
TERM_a372529b,ITEM_1357a32976b3,0,llm_verified_negative_v37_train
TERM_a372529b,ITEM_e9ed5056516f,0,llm_verified_negative_v37_train
TERM_115b0dd6,ITEM_e8afe1536e68,1,llm_recovered_positive_v37_train
TERM_115b0dd6,ITEM_e13c92101aaa,1,llm_recovered_positive_v37_train
TERM_115b0dd6,ITEM_0f4f2c434cff,1,llm_recovered_positive_v37_train
TERM_115b0dd6,ITEM_c1d2e41c448b,1,llm_recovered_positive_v37_train
TERM_115b0dd6,ITEM_7b5947673251,1,llm_recovered_positive_v37_train
TERM_245a2218,ITEM_9dba1e883603,1,llm_recovered_positive_v37_train
TERM_245a2218,ITEM_021a15ff7023,1,llm_recovered_positive_v37_train
TERM_245a2218,ITEM_0435dbb0b936,0,llm_verified_negative_v37_train
TERM_245a2218,ITEM_903345b83c3d,0,llm_verified_negative_v37_train
TERM_245a2218,ITEM_149d7392e181,0,llm_verified_negative_v37_train
TERM_31534def,ITEM_1bcadf298daa,1,llm_recovered_positive_v37_train
TERM_31534def,ITEM_1e455735b33a,1,llm_recovered_positive_v37_train
TERM_31534def,ITEM_ae4fe2ad731b,1,llm_recovered_positive_v37_train
TERM_31534def,ITEM_9d2c00c0373e,1,llm_recovered_positive_v37_train
TERM_31534def,ITEM_b239b634af38,1,llm_recovered_positive_v37_train
TERM_59efaf55,ITEM_11cbb9a6a668,1,llm_recovered_positive_v37_train
TERM_59efaf55,ITEM_b81e06aecc8a,1,llm_recovered_positive_v37_train
TERM_59efaf55,ITEM_76d3f21a723c,1,llm_recovered_positive_v37_train
TERM_59efaf55,ITEM_993f83433b7a,1,llm_recovered_positive_v37_train
TERM_59efaf55,ITEM_4430267d0384,1,llm_recovered_positive_v37_train
TERM_e345e57f,ITEM_53453dbec267,1,llm_recovered_positive_v37_train
TERM_e345e57f,ITEM_397e5ff473bc,1,llm_recovered_positive_v37_train
TERM_e345e57f,ITEM_9561d1f42235,1,llm_recovered_positive_v37_train
TERM_e345e57f,ITEM_e969fba25a6b,1,llm_recovered_positive_v37_train
TERM_e345e57f,ITEM_a73e61387d17,1,llm_recovered_positive_v37_train
TERM_c5d0c894,ITEM_402783c43eb7,1,llm_recovered_positive_v37_train
TERM_c5d0c894,ITEM_cc03153f2a43,1,llm_recovered_positive_v37_train
TERM_c5d0c894,ITEM_1852ddb9ed0f,1,llm_recovered_positive_v37_train
TERM_c5d0c894,ITEM_380ca4d602ff,0,llm_verified_negative_v37_train
TERM_c5d0c894,ITEM_9d2b18fa5c7e,1,llm_recovered_positive_v37_train
TERM_8fd0fb3f,ITEM_2762768953a0,1,llm_recovered_positive_v37_train
TERM_8fd0fb3f,ITEM_38328563313e,1,llm_recovered_positive_v37_train
TERM_8fd0fb3f,ITEM_d98746364df9,1,llm_recovered_positive_v37_train
TERM_8fd0fb3f,ITEM_854da48df201,1,llm_recovered_positive_v37_train
TERM_8fd0fb3f,ITEM_41c862be5359,1,llm_recovered_positive_v37_train
TERM_4d6eb748,ITEM_7a1aa6933089,1,llm_recovered_positive_v37_train
TERM_4d6eb748,ITEM_49fe636d7c1d,1,llm_recovered_positive_v37_train
TERM_4d6eb748,ITEM_678f29f42d0d,0,llm_verified_negative_v37_train
TERM_4d6eb748,ITEM_50d6fabd866f,0,llm_verified_negative_v37_train
TERM_4d6eb748,ITEM_1c803db5526b,0,llm_verified_negative_v37_train
TERM_55d996cb,ITEM_f0de48db2ce7,1,llm_recovered_positive_v37_train
TERM_55d996cb,ITEM_dc77bfc75c06,1,llm_recovered_positive_v37_train
TERM_55d996cb,ITEM_0a69c1a1ea4f,1,llm_recovered_positive_v37_train
TERM_55d996cb,ITEM_126779cb53a7,1,llm_recovered_positive_v37_train
TERM_55d996cb,ITEM_5cf53388585b,1,llm_recovered_positive_v37_train
TERM_dc95c5bb,ITEM_dc12b858baaa,1,llm_recovered_positive_v37_train
TERM_dc95c5bb,ITEM_ea471f8c3f2c,0,llm_verified_negative_v37_train
TERM_dc95c5bb,ITEM_aca42add5547,0,llm_verified_negative_v37_train
TERM_dc95c5bb,ITEM_89958410ebf9,0,llm_verified_negative_v37_train
TERM_dc95c5bb,ITEM_b846e86cc283,0,llm_verified_negative_v37_train
TERM_4efe6b69,ITEM_5db5b62656ba,0,llm_verified_negative_v37_train
TERM_4efe6b69,ITEM_ce189d8497a2,0,llm_verified_negative_v37_train
TERM_4efe6b69,ITEM_e7e3f1d0d8c7,0,llm_verified_negative_v37_train
TERM_4efe6b69,ITEM_6155b960ee09,0,llm_verified_negative_v37_train
TERM_4efe6b69,ITEM_7eedaac0f10f,0,llm_verified_negative_v37_train
