query,title,brand,main_category,oof_proba,bert_score,fuzz_set,head_in_title,product_type_cover
süet topuklu,520 kadın kışlık bot,daxtors,ayakkabı,0.19682169,0.006931305,0.25,0.0,0.0
süet topuklu,kahve süet kadın bot & bootie 19806,soho,ayakkabı,0.20448811,0.014060974,0.5,0.0,0.5
mikrodalga dolabı,"linea mint yeşili mdf çok amaçli firin dolabi rafli,kapakli 80x32x140 cm",moldesan,ev & mobilya,0.6686798,0.7006836,0.2696629213483146,0.8,0.5
erkek çocuk kazak,baklavali hirka vizon,erceylan,giyim,0.574323,0.00031995773,0.31578947368421056,0.0,0.0
erkek bornoz,bubble pamuk bornoz l-xl lila,english home,ev & mobilya,0.4316981,0.008125305,0.6666666666666665,1.0,1.0
erkek bornoz,bej çizgili kapşonlu,esmen,ev & mobilya,0.5295514,0.0015735626,0.25,0.0,0.0
erkek bornoz,unisex antrasit 4 kat müslin sabahlık / bornoz /kimono,lucy and home,ev & mobilya,0.48955068,0.013023376,0.6666666666666665,1.0,1.0
erkek bornoz,kaos serisi şal yaka pike bornoz sabahlık,varol,ev & mobilya,0.17204084,0.0005273819,0.6666666666666665,1.0,1.0
erkek bornoz,colourist şalyaka bornoz + baş havlusu- xxl beden- gümüş gri,özdilek,ev & mobilya,0.20442106,0.0015850067,0.6666666666666665,1.0,1.0
erkek bornoz,dama serisi kimono yaka pike bornoz sabahlık,varol,ev & mobilya,0.19883005,0.0019493103,0.6666666666666665,1.0,1.0
erkek bornoz,4 katlı müslin kumaş bornoz - tercihe bağlı kapüşon,paseam atelier,ev & mobilya,0.63561225,0.020492554,0.6666666666666665,1.0,1.0
erkek bornoz,konsept unisex büyük beden pamuklu bornoz,kisayol,ev & mobilya,0.71862495,0.044189453,0.6666666666666665,1.0,1.0
erkek bornoz,micco kapüşonlu bornoz ekru (l beden),sarev,ev & mobilya,0.5857944,0.01411438,0.6666666666666665,1.0,1.0
erkek bornoz,kraliyet mavisi bornoz,hizsoy tekstil,ev & mobilya,0.47741532,0.009933472,0.6666666666666665,1.0,1.0
erkek bornoz,dama serisi şal yaka pike bornoz sabahlık,varol,ev & mobilya,0.44831812,0.004699707,0.6666666666666665,1.0,1.0
erkek bornoz,rob | şalyaka wellsoft peluş sabahlık | robdeşambr | bornoz,znp home,giyim,0.28095087,0.010856628,0.6666666666666665,1.0,1.0
erkek bornoz,soft line %100 pamuklu şalyaka lila renkli (l-xl-2xl-3xl-4xl) büyük / battal beden bornoz,modelhome,ev & mobilya,0.28680456,0.00093984604,0.6666666666666665,1.0,1.0
paten ayakkabı,kaykaylı çocuk işıklı ayakkabı - işıklı patenli kaykay ayakkabı - kaykay ayakkabı,minibonito,spor & outdoor,0.76746243,0.07922363,0.7272727272727272,1.0,1.0
elis,kısa kol şile bezi akasya yazlık bluz kot mavi ktmv,eliş şile bezi,giyim,0.070595495,0.0005955696,0.10909090909090907,0.0,0.0
elis,els kırmızı önü kapalı anatomik taban terlik,elis,ayakkabı,0.7848786,0.47851562,0.125,0.0,0.0
yaya by hotiç babet,kadın mavi hasır detaylı tokalı loafer,yaya by hotiç,ayakkabı,0.7456794,0.024658203,0.31578947368421056,0.0,0.0
kadın kışlık bot,kadın siyah hakiki deri topuklu bot 4k2ub59153,greyder,ayakkabı,0.2998613,0.007785797,0.72,1.0,0.5
kız bebek babet ayakkabı,kırmızı simli cırtlı kız çocuk ayakkabı,le mabelle,ayakkabı,0.5779646,0.02319336,0.6666666666666665,1.0,0.5
kız bebek babet ayakkabı,pisi pisi okul oyun gösteri bale ayakkabısı pisi,nesil,ayakkabı,0.35294968,0.012145996,0.5161290322580645,0.4,0.5
