query,title,brand,main_category,oof_proba,bert_score,fuzz_set,head_in_title,product_type_cover
ayaklı sunumluk kase,puantiye desenli küçük cam kase,flying tiger copenhagen,ev & mobilya,0.89891326,0.030151367,0.43137254901960786,1.0,0.3333333333333333
süet topuklu,antrasit kadın deri stiletto,george hogg,ayakkabı,0.8801102,0.057281494,0.25,0.0,0.0
mikrodalga dolabı,çamaşır makinesi dolabı kurutma makinesi dolabı metal banyo dolabı mısra beyaz,bofigo,ev & mobilya,0.9599727,0.9863281,0.5217391304347826,1.0,0.5
bebek oto koltuğu,maxspace isofix grey melange,avionaut,anne & bebek & çocuk,0.97748685,0.00022697449,0.1777777777777777,0.0,0.0
obsidyen,sertifikalı gerçek karlı obsidyen taşı ağaç - akik plakalı,tesbih atölyesi,ev & mobilya,0.9934408,0.99658203,1.0,1.0,1.0
erkek çocuk kazak,bisiklet yaka uzun kollu yılbaşı temalı aile kombini triko kazak,kurgan tekstil,giyim,0.9951636,0.99609375,0.45454545454545453,1.0,1.0
lc waikiki çocuk pantolon,diz altı kapri 2-10 yaş yeşil,lc waikiki,giyim,0.97384995,0.9946289,0.29629629629629634,0.0,0.0
paten ayakkabı,patenli işikli spor ayakkabisi & tekerlekli sneakers,rocky,spor & outdoor,0.99129456,0.99658203,0.3939393939393939,0.4,1.0
paten ayakkabı,çocuk patenli işıklı tekerlekli spor ayakkabı & rahat siyah kaykay ayakkabı 4 teker,rocky sport,spor & outdoor,0.8637456,0.09503174,0.7272727272727272,1.0,1.0
kesme tahtası,plastik ölçek kap 5 litre,probitki genel,ev & mobilya,0.84117186,0.99121094,0.26315789473684204,0.0,0.0
kesme tahtası,vakumlu tencere kapağı ve kesme tahtası tutucu - vakumlu yapışkanlı duvar & dolap içi raf,btm home,ev & mobilya,0.96264315,0.9614258,1.0,1.0,1.0
büyük beden sweatshirt,büyük beden bisiklet yaka taş detaylı uzun kollu bluz 302622,stil diva,giyim,0.9303254,0.94628906,0.6666666666666665,0.0,0.6666666666666666
büyük beden sweatshirt,3'lü avantaj set unisex büyük beden sıfır yaka sweatshirt,eyax moda,giyim,0.9931247,0.99365234,1.0,1.0,1.0
beyaz düz taban spor ayakkabı,air jordan 1 mid se erkek basketbol ayakkabısı fq7831-142 (1 beden büyük almanızı öneriyoruz),nike,ayakkabı,0.9721244,0.69140625,0.3114754098360656,0.4,0.25
beyaz düz taban spor ayakkabı,skye clean beyaz günlük ayakkabı 38014702,puma,ayakkabı,0.89945906,0.9609375,0.6511627906976745,1.0,0.25
crop bomber ceket,vintage unisex haki oversize balon kol ceket,ilkcet moda,giyim,0.89184374,0.0637207,0.45454545454545453,1.0,0.3333333333333333
kız bebek babet ayakkabı,simli kız bebek babet,first step,ayakkabı,0.998468,0.9560547,0.8333333333333333,0.0,0.5
kız bebek babet ayakkabı,yeşil kadife kız bebek lastikli ilk adım babet-f-543,first step,ayakkabı,0.9952537,0.9741211,0.5454545454545454,0.0,0.5
kız bebek babet ayakkabı,dantelli çocuk keten babet ayakkabı-pembe-f-4001,first step,ayakkabı,0.96017784,0.8491211,0.5555555555555556,0.4,1.0
mutfak dekorasyon,at mdf tablo 2378 (model c),duvar dekorum,ev & mobilya,0.92510426,0.037902832,0.3181818181818181,0.0,0.0
mutfak dekorasyon,duvara monte edilen 6 kancalı mutfak fincan kupa bardak kaşık kepçe askısı siyah 50cm,pulca shop,ev & mobilya,0.91831607,0.95410156,0.5217391304347826,0.0,0.5
strafor,strafor maket pasta 25x10,oyd strafor ambalaj,hobi & eğlence,0.86864394,0.21325684,1.0,1.0,1.0
strafor,strafor köpük maket pasta 25 x 20 cm,yeditepe osmanlı,hobi & eğlence,0.98121834,0.9873047,1.0,1.0,1.0
strafor,strafor yuvarlak pasta tabani altliği - 15 x 3 cm,yeditepe osmanlı,banyo yapı & hırdavat,0.99682635,0.9970703,1.0,1.0,1.0
