=================================================================
[A] VERİ YÜKLENİYOR...
  962,873 ürün | 250,000 pozitif | 3,359,679 test | 27.0s
  Train-test term_id örtüşmesi: 0 (0 olmalı)

[A2] Enhanced negatives (NEG_PER_POS=5, v23 ile birebir aynı)...
  Negatif kaynak: {'same_brand_diff_sub': 116056, 'same_main_category': 249999, 'different_main_category': 717995, 'same_brand_diff_main': 115262, 'gender_conflict': 36733, 'age_conflict': 13954}
  (v23 ile karşılaştır — birebir aynı olmalı: kesin fark yoksa negatif üretimi bozulmamış demektir)
  Train: 1,499,999 | pos=250,000 neg=1,249,999

[B] BERT (v23 negatifleriyle fine-tune veya cache)...
  Device: cuda
  BERT fine-tune başlıyor (v23'ün güvenli negatifleriyle)...
  BERT train sample: 500,000 | pos~83,273
  Toplu tokenize ediliyor (fast tokenizer, tek seferde)...
  → tokenize 500,000 örnek | 32.6s
  Epoch 1 step 0/15625 loss=0.8926
  Epoch 1 step 300/15625 loss=0.6958
  Epoch 1 step 600/15625 loss=0.4738
  Epoch 1 step 900/15625 loss=0.3745
  Epoch 1 step 1200/15625 loss=0.3201
  Epoch 1 step 1500/15625 loss=0.2858
  Epoch 1 step 1800/15625 loss=0.2619
  Epoch 1 step 2100/15625 loss=0.2434
  Epoch 1 step 2400/15625 loss=0.2291
  Epoch 1 step 2700/15625 loss=0.2175
  Epoch 1 step 3000/15625 loss=0.2081
  Epoch 1 step 3300/15625 loss=0.2002
  Epoch 1 step 3600/15625 loss=0.1938
  Epoch 1 step 3900/15625 loss=0.1882
  Epoch 1 step 4200/15625 loss=0.1833
  Epoch 1 step 4500/15625 loss=0.1783
  Epoch 1 step 4800/15625 loss=0.1739
  Epoch 1 step 5100/15625 loss=0.1700
  Epoch 1 step 5400/15625 loss=0.1672
  Epoch 1 step 5700/15625 loss=0.1638
  Epoch 1 step 6000/15625 loss=0.1610
  Epoch 1 step 6300/15625 loss=0.1583
  Epoch 1 step 6600/15625 loss=0.1559
  Epoch 1 step 6900/15625 loss=0.1537
  Epoch 1 step 7200/15625 loss=0.1517
  Epoch 1 step 7500/15625 loss=0.1498
  Epoch 1 step 7800/15625 loss=0.1479
  Epoch 1 step 8100/15625 loss=0.1466
  Epoch 1 step 8400/15625 loss=0.1449
  Epoch 1 step 8700/15625 loss=0.1435
  Epoch 1 step 9000/15625 loss=0.1421
  Epoch 1 step 9300/15625 loss=0.1408
  Epoch 1 step 9600/15625 loss=0.1397
  Epoch 1 step 9900/15625 loss=0.1385
