token,brand,confidence,n_queries
adidas,adidas,1.0,112
karaca,karaca,1.0,105
nike,nike,1.0,81
samsung,samsung,0.948,77
philips,philips,1.0,62
defacto,defacto,1.0,61
puma,puma,1.0,55
koton,koton,1.0,44
waikiki,lc,1.0,43
mango,mango,0.977,43
coco,madame,0.976,41
the,the,0.8,40
madame,madame,1.0,39
paşabahçe,paşabahçe,1.0,38
bosch,bosch,1.0,38
english,english,0.974,38
cardin,pierre,1.0,37
arçelik,arçelik,1.0,37
bargello,bargello,1.0,36
guess,guess,1.0,35
pierre,pierre,1.0,35
tefal,tefal,1.0,34
ikea,ikea,1.0,34
new,new,0.719,32
avon,avon,1.0,31
yves,yves,1.0,29
loreal,l'oreal,0.931,29
apple,apple,0.897,29
lego,lego,0.931,29
h&m,h&m,1.0,27
lacoste,lacoste,1.0,27
klein,calvin,0.852,27
emsan,emsan,1.0,26
galaxy,samsung,0.792,24
korkmaz,korkmaz,1.0,24
beko,beko,1.0,23
xiaomi,xiaomi,1.0,23
lumberjack,lumberjack,1.0,23
rocher,yves,1.0,23
calvin,calvin,1.0,23
nivea,nivea,1.0,22
yataş,yataş,1.0,22
tanca,tamer,0.773,22
u.s.,u.s.,1.0,21
assn.,u.s.,1.0,21
flormar,flormar,1.0,21
nyx,nyx,1.0,21
maybelline,maybelline,1.0,21
fenerbahçe,fenerbahçe,0.95,20
bershka,bershka,1.0,20
hot,hot,1.0,19
wheels,hot,0.947,19
nehir,nehir,1.0,19
bioderma,bioderma,1.0,19
skechers,skechers,1.0,19
balance,new,0.947,19
tommy,tommy,1.0,19
stanley,stanley,1.0,18
lufian,lufian,1.0,18
decathlon,decathlon,1.0,18
bella,bella,0.882,17
mad,mad,0.941,17
acar,acar,1.0,17
lcw,lc,1.0,16
sleepy,sleepy,1.0,16
north,the,0.875,16
braun,braun,1.0,16
stradivarius,stradivarius,1.0,16
kiko,kiko,1.0,16
tamer,tamer,1.0,16
galatasaray,galatasaray,0.875,16
armine,armine,1.0,15
ocean,ocean,0.933,15
bear,pull,0.933,15
hilfiger,tommy,1.0,15
royal,royal,0.929,14
mac,m.a.c,0.929,14
face,the,0.929,14
under,under,1.0,14
armour,under,1.0,14
pull,pull,1.0,14
redmi,xiaomi,0.714,14
molfix,molfix,1.0,14
dyson,dyson,0.857,14
solgar,solgar,1.0,14
özdilek,özdilek,1.0,14
arzum,arzum,1.0,13
biberon,philips,0.769,13
hummel,hummel,1.0,13
missha,missha,1.0,13
kiwi,kiwi,1.0,13
columbia,columbia,1.0,13
gap,gap,1.0,12
kinetix,kinetix,1.0,12
paris,l'oreal,0.75,12
altus,altus,1.0,12
vans,vans,1.0,12
maison,bella,1.0,12
derimod,derimod,1.0,12
note,note,0.75,12
grimelange,grimelange,1.0,12
vichy,vichy,1.0,12
purest,the,1.0,12
sinbo,sinbo,1.0,12
asics,asics,1.0,12
bingo,bingo,1.0,12
network,network,0.833,12
ipekyol,ipekyol,0.833,12
playstation,sony,1.0,11
ltb,ltb,1.0,11
jumbo,jumbo,0.818,11
grundig,grundig,1.0,11
converse,converse,1.0,11
lenovo,lenovo,1.0,11
roche,la,1.0,11
istanbul,happiness,0.818,11
slazenger,slazenger,1.0,11
kiğılı,kiğılı,0.818,11
avva,avva,1.0,11
dove,dove,1.0,11
zigon,goldfalez,0.727,11
garnier,garnier,1.0,10
aryıldız,aryıldız,1.0,10
tchibo,tchibo,1.0,10
civil,civil,1.0,10
gant,gant,1.0,10
zsa,zsa,1.0,10
ayakabı,adidas,0.8,10
vicco,vicco,1.0,10
trend,trend,0.8,10
golden,golden,1.0,10
addax,addax,1.0,10
fakir,fakir,0.9,10
arnica,arnica,1.0,10
york,maybelline,0.9,10
jimmy,jimmy,1.0,10
key,jimmy,1.0,10
ayağı,badem10,0.8,10
farmasi,farmasi,1.0,10
dilvin,dilvin,1.0,9
vestel,vestel,1.0,9
ekol,ekol,1.0,9
honor,honor,0.778,9
oral,oral-b,1.0,9
tab,samsung,0.778,9
isana,isana,1.0,9
hotiç,yaya,0.889,9
nascita,nascita,1.0,9
wild,wet,0.889,9
happiness,happiness,1.0,9
salomon,salomon,1.0,9
roborock,roborock,1.0,9
rotring,rotring,1.0,9
msi,msi,1.0,9
lancome,lancome,1.0,9
marjin,marjin,1.0,9
jbl,jbl,0.889,9
pandora,pandora,0.889,9
chic,so,1.0,9
elle,elle,1.0,9
vileda,vileda,1.0,8
perotti,perotti,1.0,8
spot,cata,0.75,8
levidor,levidor,1.0,8
borcam,paşabahçe,1.0,8
bioxcin,bioxcin,1.0,8
beaulis,beaulis,1.0,8
micro,sandisk,0.75,8
piercing,karınca,0.75,8
dalin,dalin,1.0,8
revolution,revolution,0.75,8
nihan,nihan,0.875,8
raflı,bofigo,0.875,8
asus,asus,1.0,8
chakra,chakra,1.0,8
pantene,pantene,1.0,8
suud,suud,1.0,8
polaris,polaris,1.0,8
lav,lav,0.75,8
faber,faber,1.0,8
castell,faber,1.0,8
greyder,greyder,1.0,8
mudo,mudo,1.0,8
kürklü,koton,0.75,8
michael,michael,1.0,8
kors,michael,1.0,8
schafer,schafer,1.0,8
oyunları,sony,0.714,7
reflex,reflex,1.0,7
avent,philips,1.0,7
urban,urban,1.0,7
eyüp,eyüp,1.0,7
sabri,eyüp,1.0,7
tuncer,eyüp,1.0,7
casio,casio,1.0,7
saatleri,pullmarkt,0.714,7
s10,samsung,0.714,7
homend,homend,1.0,7
kulpu,badem10,0.714,7
telkari,sümer,1.0,7
prego,prego,1.0,7
karcher,karcher,1.0,7
lee,lee,1.0,7
elseve,elseve,1.0,7
reebok,reebok,1.0,7
caudalie,caudalie,1.0,7
ebebek,ebebek,1.0,7
posay,la,1.0,7
solutions,the,1.0,7
adl,adl,1.0,7
panço,panço,0.857,7
profilo,profilo,1.0,7
lotus,lotus,0.857,7
bosh,bosch,1.0,7
rival,rival,1.0,7
öğütücü,kiwi,0.714,7
alize,alize,1.0,7
avien,alix,1.0,7
tom,tom,0.714,7
crop,koton,0.857,7
alix,alix,1.0,7
loft,loft,1.0,7
domol,domol,1.0,7
coğrafya,yargı,0.714,7
merrell,merrell,1.0,7
yağmur,igor,0.857,7
nutraxin,nutraxin,1.0,7
komodin,demopa,0.714,7
helly,helly,1.0,6
hansen,helly,1.0,6
tecno,tecno,1.0,6
vaseline,vaseline,1.0,6
arow,arow,1.0,6
bebelac,bebelac,1.0,6
saint,yves,1.0,6
süvari,süvari,1.0,6
canin,royal,1.0,6
aldo,aldo,1.0,6
nautica,nautica,1.0,6
soho,soho,1.0,6
siemens,siemens,1.0,6
dr.,dr.,0.833,6
bambi,bambi,1.0,6
riccon,riccon,1.0,6
zsu,zsa,1.0,6
duru,duru,1.0,6
deripabuc,deripabuc,1.0,6
ugg,ugg,1.0,6
xiomi,xiaomi,1.0,6
wet,wet,1.0,6
avene,avene,1.0,6
electrolux,electrolux,1.0,6
fossil,fossil,1.0,6
alaçatı,trend,1.0,6
stili,trend,1.0,6
mikasa,mikasa,1.0,6
moor,mikasa,1.0,6
prima,prima,1.0,6
daniel,daniel,1.0,6
fantom,fantom,1.0,6
gucci,gucci,1.0,6
colins,colin's,1.0,6
manuka,manuka,1.0,6
mustela,mustela,1.0,6
smeg,smeg,1.0,6
merinos,merinos,1.0,6
einhell,einhell,1.0,6
kerastase,kerastase,1.0,6
crocs,crocs,1.0,6
yıkanabilir,vopteks,1.0,6
porland,porland,1.0,6
sarar,sarar,1.0,6
cooper,lee,0.833,6
tudors,tudors,1.0,6
wee,wee,1.0,6
kraft,kraft,0.833,6
twist,twist,1.0,6
loris,loris,1.0,6
oriflame,oriflame,1.0,6
lotto,lotto,1.0,6
a36,samsung,0.833,6
neutrogena,neutrogena,1.0,6
campus,adidas,1.0,5
xuping,xuping,1.0,5
portföy,bagfoni,0.8,5
moda,moda,0.8,5
laurent,yves,1.0,5
torima,torima,1.0,5
2026,yargı,0.8,5
zühre,zühre,1.0,5
remington,remington,1.0,5
dior,dior,1.0,5
spiderman,spiderman,1.0,5
uni,uni,1.0,5
proplan,pro,1.0,5
seçil,seçil,1.0,5
desa,desa,1.0,5
bofigo,bofigo,1.0,5
canon,canon,1.0,5
elidor,elidor,1.0,5
termosu,stanley,0.8,5
hammer,hammer,0.8,5
yuka,yuka,0.8,5
yaya,yaya,1.0,5
west,nine,0.8,5
lava,lava,1.0,5
pilates,delta,0.8,5
sephora,sephora,1.0,5
jüt,mavaux,0.8,5
tergan,tergan,1.0,5
dark,dark,0.8,5
gömleği,tudors,0.8,5
levis,levi's,1.0,5
kayra,kayra,1.0,5
çubuklu,english,0.8,5
finish,finish,1.0,5
arora,arora,1.0,5
hurcu,ocean,0.8,5
penti,penti,1.0,5
bigdart,bigdart,1.0,5
loves,rival,1.0,5
for-x,for-x,1.0,5
phlips,philips,1.0,5
çaykur,çaykur,1.0,5
ac&co,ac&co,1.0,5
yargıcı,yargıcı,1.0,5
morfose,morfose,1.0,5
low,nike,0.8,5
anker,anker,1.0,5
cerave,cerave,1.0,5
exchange,armani,1.0,5
sonic,sonic,0.8,5
lescon,lescon,1.0,5
kemal,kemal,0.8,5
fabrika,fabrika,0.8,5
nail,nail,0.8,5
silva,silva,1.0,5
mehmet,mehmet,0.8,5
dercos,vichy,1.0,5
tiger,flying,0.8,5
igor,igor,1.0,5
emporio,emporio,1.0,5
inter,inter,1.0,5
sinan,sinan,1.0,5
kuzucu,sinan,1.0,5
zara,zara,1.0,5
gel,asics,0.8,5
hyundai,hyundai,0.8,5
solo,solo,1.0,5
lauder,estee,1.0,5
ls2,ls2,1.0,5
ralph,polo,0.8,5
lauren,polo,0.8,5
samba,adidas,1.0,5
oysho,oysho,1.0,5
kivi,kiwi,1.0,4
yamaha,yamaha,1.0,4
vakko,vakko,1.0,4
straight,defacto,1.0,4
havalandırma,badem10,0.75,4
omron,omron,1.0,4
united,united,1.0,4
colors,united,1.0,4
ranır,pelangi,0.75,4
serve,serve,1.0,4
deep,serve,0.75,4
lykd,lykd,1.0,4
madmext,madmext,1.0,4
meleni,meleni,1.0,4
antrasit,mavi,0.75,4
barbekü,taner,0.75,4
menfez,kadıoğlu,0.75,4
monster,monster,0.75,4
kapları,paşabahçe,0.75,4
umre,asilnur,1.0,4
lucky,lucky,1.0,4
925,nereze,1.0,4
pelin,pelin,1.0,4
izeltaş,izeltaş,1.0,4
teen,mango,1.0,4
dolgu,limeo,1.0,4
kitchen,kitchen,1.0,4
chicco,chicco,1.0,4
çoraplı,melekpare,0.75,4
sma,sma,1.0,4
nine,nine,1.0,4
toprağı,tropikal,0.75,4
calliel,calliel,1.0,4
arko,arko,1.0,4
rich,rich,1.0,4
kurulama,fine,0.75,4
armatür,armour,0.75,4
hoppala,bundeba,0.75,4
sinoz,sinoz,1.0,4
xaiomi,xiaomi,1.0,4
lenova,lenovo,1.0,4
marks,marks,1.0,4
spencer,marks,1.0,4
bayev,bayev,1.0,4
jordan,nike,1.0,4
bikini,suwen,0.75,4
sensibio,bioderma,1.0,4
kıyma,arnica,0.75,4
isonem,isonem,1.0,4
örgüsü,el,0.75,4
kumtel,kumtel,1.0,4
castrol,castrol,1.0,4
marker,rich,0.75,4
filmi,black,0.75,4
sebamed,sebamed,1.0,4
eastpak,eastpak,1.0,4
tto,tto,1.0,4
arkadaşı,tuğba,0.75,4
bic,bic,1.0,4
