term_id,query,normalized,brand,brand_conf,gender,age_range,colors,sizes,materials,product_tokens
TERM_4324f1f4,söz çikolatası,söz çikolatası,,0.0,,,,,,söz çikolatası
TERM_937ac37e,nişan makas,nişan makas,,0.0,,,,,,nişan makas
TERM_1f7bf175,taft saç jölesi,taft saç jölesi,,0.0,,,,,,taft saç jölesi
TERM_4981981f,varol yorgan,varol yorgan,varol,1.0,,,,,,yorgan
TERM_d83d2fbc,scooter lastik,scooter lastik,,0.0,,,,,,scooter lastik
TERM_7d9d0471,mini mutfak dolabı,mini mutfak dolabı,,0.0,,,,,,mini mutfak dolabı
TERM_fb693703,çocuk & montessori karyola,çocuk & montessori karyola,,0.0,,çocuk,,,,montessori karyola
TERM_a5caf3eb,janssen cosmetics,janssen cosmetics,,0.0,,,,,,janssen cosmetics
TERM_ebddb14b,felix kuru kedi maması,felix kuru kedi maması,felix,1.0,,,,,,kuru kedi maması
TERM_b4478f68,papilla tava,papilla tava,,0.0,,,,,,papilla tava
TERM_6952dd53,adidas campus 00s,adidas campus 00s,adidas,1.0,,,,,,campus
TERM_cafb18f0,helly hansen erkek,helly hansen erkek,helly,1.0,erkek,,,,,hansen
TERM_f8e8fdb8,playstation 4 oyunları,playstation 4 oyunları,sony,1.0,,,,,,oyunları
TERM_c5c096f0,tomford gözlük,tomford gözlük,,0.0,,,,,,tomford gözlük
TERM_26a23238,tezgah kaplama,tezgah kaplama,,0.0,,,,,,tezgah kaplama
TERM_a2726ed7,çay saklama kutusu,çay saklama kutusu,,0.0,,,,,,çay saklama kutusu
TERM_72eb15fb,tamir aletleri,tamir aletleri,,0.0,,,,,,tamir aletleri
TERM_d318d1d3,siyah bulaşıklık,siyah bulaşıklık,teknotel,1.0,,,siyah,,,
TERM_83990997,laguna,laguna,,0.0,,,,,,laguna
TERM_aa1304dd,altın,altın,,0.0,,,altın,,altın,
TERM_aae83029,artline,artline,,0.0,,,,,,artline
TERM_7775a5de,cooker kase,cooker kase,cooker,1.0,,,,,,kase
TERM_8cf9685e,ray-ban kadın güneş gözlüğü,ray-ban kadın güneş gözlüğü,ray-ban,1.0,kadın,,,,,güneş gözlüğü
TERM_cb412dc9,kitaplıklar,kitaplıklar,,0.0,,,,,,kitaplıklar
TERM_494bbdcd,arzum blender seti,arzum blender seti,arzum,1.0,,,,,,blender seti
TERM_ecf10f2b,lc waikiki kadın mont,lc waikiki kadın mont,lc,1.0,kadın,,,,,mont
TERM_64826b81,fifa topu,fifa topu,,0.0,,,,,,fifa topu
TERM_e03becc3,geyik kafası,geyik kafası,,0.0,,,,,,geyik kafası
TERM_0fd978ec,baby brown,baby brown,,0.0,,,,,,baby brown
TERM_9a448431,kivi buhar temizleyici,kivi buhar temizleyici,kiwi,1.0,,,,,,buhar temizleyici
TERM_34275f3d,bygolden,bygolden,,0.0,,,,,,bygolden
TERM_6a143ee2,lcw kız çocuk elbise,lcw kız çocuk elbise,lc,1.0,kadın,çocuk,,,,elbise
TERM_7df2262e,emsan arya,emsan arya,emsan,1.0,,,,,,arya
